company_id,employee_count,follower_count,time_recorded
40775779,68,901,2023-08-22 06:08:12.000000000
1211072,131,2050,2023-08-22 06:08:13.000000000
4743385,40,699,2023-08-22 06:08:13.000000000
109690,188,6932,2023-08-22 06:08:13.000000000
82809834,2,3121,2023-08-22 06:08:14.000000000
5103135,36,1463,2023-08-22 06:08:14.000000000
25719,52,796,2023-08-22 06:08:14.000000000
64948032,70,2607,2023-08-22 06:08:14.000000000
99429,201,2385,2023-08-22 06:08:15.000000000
2281751,20,293,2023-08-22 06:08:15.000000000
1724775,140,35612,2023-08-22 06:08:15.000000000
8596,4836,94215,2023-08-22 06:08:16.000000000
22330287,989,40087,2023-08-22 06:08:16.000000000
80851163,11,341,2023-08-22 06:08:16.000000000
88171782,11,384,2023-08-22 06:08:16.000000000
2434292,5,3432,2023-08-22 06:08:17.000000000
165416,5752,81838,2023-08-22 06:08:17.000000000
104849,147,4301,2023-08-22 06:08:17.000000000
37270045,7,121,2023-08-22 06:08:17.000000000
71612518,3,76,2023-08-22 06:08:17.000000000
3671,16063,204662,2023-08-22 06:08:17.000000000
3671,16063,204662,2023-08-22 06:08:18.000000000
3671,16063,204662,2023-08-22 06:08:19.000000000
2413926,13,8106,2023-08-22 06:08:19.000000000
3663488,51,5665,2023-08-22 06:08:19.000000000
3671,16063,204662,2023-08-22 06:08:20.000000000
2474970,78,9443,2023-08-22 06:08:20.000000000
101699,733,9555,2023-08-22 06:08:21.000000000
3671,16063,204662,2023-08-22 06:08:21.000000000
3671,16063,204662,2023-08-22 06:08:22.000000000
4857886,2948,45509,2023-08-22 06:08:23.000000000
3671,16063,204662,2023-08-22 06:08:23.000000000
3671,16063,204662,2023-08-22 06:08:24.000000000
3671,16063,204662,2023-08-22 06:08:25.000000000
1584751,10,22616,2023-08-22 06:08:25.000000000
3671,16063,204662,2023-08-22 06:08:26.000000000
2908367,1735,164175,2023-08-22 06:08:26.000000000
3671,16063,204662,2023-08-22 06:08:27.000000000
2908367,1735,164175,2023-08-22 06:08:27.000000000
90723074,96,548,2023-08-22 06:08:27.000000000
206587,13,911,2023-08-22 06:08:27.000000000
205127,139,88337,2023-08-22 06:08:27.000000000
344890,1014,2407,2023-08-22 06:08:28.000000000
1441,285743,30762143,2023-08-22 06:08:28.000000000
9185,19759,114381,2023-08-22 06:08:28.000000000
9185,19759,114381,2023-08-22 06:08:29.000000000
1441,285743,30762143,2023-08-22 06:08:29.000000000
9185,19759,114381,2023-08-22 06:08:30.000000000
9185,19759,114381,2023-08-22 06:08:31.000000000
1441,285743,30762143,2023-08-22 06:08:31.000000000
9185,19759,114381,2023-08-22 06:08:32.000000000
1318,290150,7770078,2023-08-22 06:08:32.000000000
26923,1054,4203,2023-08-22 06:08:32.000000000
28014,1585,95817,2023-08-22 06:08:32.000000000
9185,19759,114381,2023-08-22 06:08:33.000000000
9185,19759,114381,2023-08-22 06:08:34.000000000
26923,1054,4203,2023-08-22 06:08:34.000000000
9185,19759,114381,2023-08-22 06:08:35.000000000
26923,1054,4203,2023-08-22 06:08:35.000000000
26923,1054,4203,2023-08-22 06:08:36.000000000
9185,19759,114381,2023-08-22 06:08:36.000000000
26923,1054,4203,2023-08-22 06:08:37.000000000
1318,290150,7770078,2023-08-22 06:08:37.000000000
26923,1054,4203,2023-08-22 06:08:38.000000000
64877765,70,27772,2023-08-22 06:08:38.000000000
20767,234,23795,2023-08-22 06:08:38.000000000
10589520,152,7239,2023-08-22 06:08:39.000000000
11135982,24872,410103,2023-08-22 06:08:39.000000000
2625582,33,3705,2023-08-22 06:08:39.000000000
1117761,198,3232,2023-08-22 06:08:39.000000000
18883340,347,1360,2023-08-22 06:08:40.000000000
94141062,7,281,2023-08-22 06:08:40.000000000
16055920,13,9,2023-08-22 06:08:40.000000000
2138573,24,970,2023-08-22 06:08:40.000000000
2272345,30,1111,2023-08-22 06:08:40.000000000
67936,372,4446,2023-08-22 06:08:41.000000000
28609431,15,777,2023-08-22 06:08:41.000000000
90392784,4,30,2023-08-22 06:08:41.000000000
57142940,26,125,2023-08-22 06:08:42.000000000
2853559,10,632,2023-08-22 06:08:42.000000000
9282983,15,10284,2023-08-22 06:08:42.000000000
34208,2508,31229,2023-08-22 06:08:42.000000000
9238932,72,1277,2023-08-22 06:08:42.000000000
92430070,2,475,2023-08-22 06:08:43.000000000
34208,2508,31229,2023-08-22 06:08:43.000000000
10069048,21,850,2023-08-22 06:08:43.000000000
10779570,57,1251,2023-08-22 06:08:44.000000000
11158118,68,213,2023-08-22 06:08:44.000000000
15391027,23,464,2023-08-22 06:08:45.000000000
444038,68,6359,2023-08-22 06:08:45.000000000
33246798,50049,2663406,2023-08-22 06:08:45.000000000
35504315,3785,18526,2023-08-22 06:08:46.000000000
9185,19759,114381,2023-08-22 06:08:46.000000000
33246798,50049,2663406,2023-08-22 06:08:47.000000000
9185,19759,114381,2023-08-22 06:08:47.000000000
35504315,3785,18526,2023-08-22 06:08:47.000000000
346080,2808,35495,2023-08-22 06:08:47.000000000
1264,3543,130651,2023-08-22 06:08:47.000000000
9185,19759,114381,2023-08-22 06:08:48.000000000
35504315,3785,18526,2023-08-22 06:08:49.000000000
6978821,705,380769,2023-08-22 06:08:49.000000000
9185,19759,114381,2023-08-22 06:08:49.000000000
35504315,3785,18526,2023-08-22 06:08:50.000000000
1177302,964,27592,2023-08-22 06:08:50.000000000
1264,3543,130651,2023-08-22 06:08:50.000000000
1400,31271,1697119,2023-08-22 06:08:51.000000000
36879,1102,7666,2023-08-22 06:08:51.000000000
808034,18302,90008,2023-08-22 06:08:51.000000000
808034,18302,90008,2023-08-22 06:08:52.000000000
